ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
12057,10439,Individual,Mohammad Reza NAQDI,true,false,false,false
12057,11234,Individual,Mohammad Reza NAQDI,true,true,false,false
12057,11784,Individual,Mohammad Reza NAQDI,true,true,false,false
12060,10647,Individual,Ahmad VAHIDI,true,false,,false
12066,10638,Individual,Mohammad Ali JAFARI,true,true,true,false
12109,11208,Individual,Anwar AL-AULAQI,false,true,true,
12127,11207,Individual,Gul Agha ISHAKZAI,true,false,false,
12128,11205,Individual,Amir ABDULLAH,true,false,false,
12129,11206,Individual,Nasiruddin HAQQANI,true,false,false,
12148,11270,Entity,HARAKAT-UL JIHAD ISLAMI,true,,false,
12206,12032,Entity,TEHRIK-E TALIBAN PAKISTAN (TTP),true,,false,
12209,12453,Entity,OFFICE 39,true,,false,false
12211,12439,Individual,Yong Chol KIM,true,true,false,false
12212,11282,Entity,GREEN PINE ASSOCIATED CORPORATION,true,,false,false
12213,11285,Entity,SECOND ECONOMIC COMMITTEE,true,,,false
12214,12447,Entity,MUNITIONS INDUSTRY DEPARTMENT,true,,false,false
12215,12871,Entity,SECOND ACADEMY OF NATURAL SCIENCES,true,,false,false
12219,11284,Entity,KOREA TAESONG TRADING COMPANY,true,,,false
12220,11283,Entity,KOREA HEUNGJIN TRADING COMPANY,true,,false,false
12251,11785,Individual,Ahmad-Reza RADAN,true,false,,false
12253,12189,Individual,Sadeq MAHSOULI,true,false,false,false
12254,11798,Individual,Saeed MORTAZAVI,false,false,true,false
12255,12202,Individual,Heydar MOSLEHI,true,false,false,false
12256,10644,Individual,Mostafa Mohammad NAJJAR,true,false,,false
12257,11788,Individual,Hossein TAEB,true,false,false,false
12312,11286,Entity,KOREA DAESONG BANK,true,,false,false
12313,11287,Entity,KOREA DAESONG GENERAL TRADING CORPORATION,true,,false,false
12321,11277,Individual,Felicien NSANZUBUKIRE,true,false,false,
12322,11278,Individual,Innocent ZIMURINDA,true,true,,
12326,11276,Individual,Gaston IYAMUREMYE,true,false,false,
12328,11279,Individual,Leodomir MUGARAGU,true,false,false,
12477,11580,Entity,BONYAD TAAVON SEPAH,true,,false,false
12478,11581,Entity,ANSAR BANK,true,,false,false
12481,11582,Entity,MEHR BANK,true,,false,false
12555,12234,Individual,Milad JAFARI,true,true,,false
12561,11633,Individual,Khalil Al-Rahman HAQQANI,false,true,true,
12562,11634,Individual,Said Jan 'ABD AL-SALAM,true,true,false,true
12598,12037,Individual,Muhammad Jibril ABDUL RAHMAN,true,true,false,true
12599,12021,Individual,Umar PATEK,true,true,false,
12608,11640,Individual,Saif al-Islam QADHAFI,true,true,false,
12610,11635,Individual,Ayesha QADHAFI,false,true,false,true
12629,11648,Individual,Saadi GADDAFI,false,true,false,true
12632,11657,Individual,Abu Zaid DORDA,false,true,false,true
12633,11659,Individual,Matuq Mohammed MATUQ,true,false,false,
12634,11658,Individual,Abu Bakr Yunis JABIR,true,false,false,
12635,11650,Individual,Abdullah AL-SENUSSI,true,false,false,
12669,11743,Individual,Ibrahim Hassan Tali AL-ASIRI,true,true,false,true
12685,11711,Entity,GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION,true,,false,false
12696,12451,Entity,BANK OF EAST LAND,true,,false,false
12722,11901,Individual,Ali MAMLUK,true,false,false,
12724,11911,Individual,Atif NAJIB,false,,true,
12725,11909,Individual,Maher AL-ASSAD,true,true,false,false
12735,11928,Individual,Bashar AL-ASSAD,false,true,true,false
12738,12024,Individual,Ali Habib MAHMOUD,true,false,false,
12740,11910,Individual,Mohammad Ibrahim AL-SHAAR,true,false,false,
12740,12421,Individual,Mohammad Ibrahim AL-SHAAR,true,false,false,
12742,12693,Entity,SYRIAN NATIONAL SECURITY BUREAU,true,,false,
12744,12152,Entity,CHAM HOLDING,true,,false,
12745,12017,Entity,BENA PROPERTIES,true,,false,
12746,12018,Entity,AL MASHREQ INVESTMENT FUND,true,,false,
12749,11907,Individual,Mohammed Dib ZAITOUN,false,false,true,
12787,12012,Individual,Othman AL-GHAMDI,false,true,true,true
12795,12454,Individual,Ahmad Zia AGHA,true,false,false,
12797,12455,Individual,Fazl RABI,true,false,false,
12798,12456,Individual,Mohammad Aman AKHUND,true,false,false,
12812,11906,Individual,Jamil HASSAN,true,false,false,
12813,12054,Entity,POLITICAL SECURITY DIRECTORATE,true,,false,
12823,12030,Individual,Omar HAMMAMI,true,true,false,true
12824,12029,Individual,Hassan Mahat OMAR,true,true,false,true
12847,12203,Entity,COMMERCIAL BANK OF SYRIA,true,,,false
12848,12487,Entity,SYRIAN LEBANESE COMMERCIAL BANK,true,,,false
12867,12644,Entity,SYRIAN PETROLEUM COMPANY,true,,false,
12870,12696,Entity,SYRIAN COMPANY FOR OIL TRANSPORT,true,,false,
12881,12690,Individual,Bouthaina SHAABAN,true,false,false,
12884,13691,Individual,Freddy Alirio BERNAL ROSALES,true,true,,false
12890,12629,Individual,Mustafa Hajji Muhammad KHAN,true,true,false,
12915,12204,Individual,Jamil MUKULU,true,true,false,
12916,12631,Individual,Zafar IQBAL,true,true,false,true
12917,12630,Individual,Hafiz Abdul Salam BHUTTAVI,true,false,false,
12922,12632,Individual,Abdur REHMAN,true,true,false,true
12923,12555,Individual,Fazal RAHIM,true,true,false,true
12924,12156,Individual,Abdul Aziz ABBASIN,true,false,false,
12929,12206,Individual,Manssor ARBABSIAR,true,true,false,true
12930,12205,Individual,Hamed ABDOLLAHI,true,true,false,true
12941,11200,Entity,IRAN CENTRIFUGE TECHNOLOGY COMPANY,true,,false,false
12945,11779,Individual,Abdollah ARAGHI,true,false,false,false
12956,11222,Entity,YASA PART,true,,false,false
12958,12438,Individual,Ntabo Ntaberi SHEKA,true,true,,
12960,13129,Individual,Ibrahim SULEIMAN HAMAD AL-HABLAIN,true,true,false,true
13001,12011,Entity,MILITARY HOUSING ESTABLISHMENT,true,,,
13057,12501,Individual,Yassin CHOUKA,true,true,false,true
13058,12500,Individual,Monir CHOUKA,true,true,false,true
13059,12502,Individual,Mevlut KAR,true,true,false,false
13095,12627,Individual,Mochammad ACHWAN,true,true,false,true
13097,12628,Individual,Abdul Rosyid Ridho BA'ASYIR,true,true,false,true
13099,12556,Individual,Abdul Samad ACHEKZAI,true,false,false,
13106,12276,Individual,Sayyid Ali Akbar TABATABAEI,false,,false,true
13106,12274,Individual,Sayyid Ali Akbar TABATABAEI,false,,false,true
13112,12050,Individual,Munir ADANOV,true,false,false,
13153,11232,Individual,Ali FADAVI,true,true,false,false
13156,10656,Entity,MINISTRY OF DEFENSE LOGISTICS EXPORT,true,,false,false
13158,12700,Individual,Bakht GUL,true,false,false,
13357,12735,Individual,Aboud Rogo MOHAMMED,true,true,false,
13369,12737,Individual,Abubaker Shariff AHMED,true,false,false,
13372,12428,Entity,INDUSTRIAL SOLUTIONS,true,,,
13373,12429,Entity,MECHANICAL CONSTRUCTION FACTORY,true,,,
13440,12734,Entity,SYRIAN ARAB AIRLINES,true,,false,false
13471,12670,Individual,Adib MAYALEH,true,false,false,
13482,12427,Entity,BUSINESS LAB,true,,,
15005,12704,Entity,ROSHAN MONEY EXCHANGE,true,,false,
15006,12703,Entity,HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,true,,false,false
15007,12701,Individual,Haji Abdul Sattar BARAKZAI,false,false,false,true
15008,12702,Individual,Haji Khairullah BARAKZAI,false,false,false,true
15009,13006,Individual,Abubakar SHEKAU,false,false,true,
15194,12412,Individual,MOHAMMAD AL-JLEILATI,true,false,false,
15216,12760,Individual,Qadri JAMIL,true,false,false,
15217,12732,Entity,DREX TECHNOLOGIES S.A.,true,,false,false
15221,12769,Individual,Bassam HANNA,true,false,,
15222,12505,Individual,Mansour Fadlallah AZZAM,true,false,,
15223,12504,Individual,Wael Nader AL-HALQI,true,false,,
15224,12640,Individual,Hussein Mahmoud FARZAT,true,false,,
15225,12637,Individual,Omar Ibrahim GHALAWANJI,true,false,,
15226,12636,Individual,Imad Mohammad Deeb KHAMIS,true,true,,
